ID,Client_Income,Car_Owned,Bike_Owned,Active_Loan,House_Own,Child_Count,Credit_Amount,Loan_Annuity,Client_Income_Type,Client_Education,Client_Marital_Status,Client_Gender,Loan_Contract_Type,Client_Housing_Type,Age_Days,Employed_Days,Own_House_Age,Client_Occupation,Client_Family_Members,Score_Source_1,Score_Source_2,Score_Source_3,Credit_Bureau,Default
12191314,63000,1.0,0.0,0.0,1.0,0.0,101250,5062.5,Commercial,Graduation,S,Female,RL,Home,9211,756,3.0,IT,1.0,0.622793856,0.655332956,0.394495405,0.0,0
12101940,9000,1.0,0.0,0.0,1.0,1.0,32850,1677.15,Commercial,Secondary,M,Female,CL,Home,12685,774,14.0,Drivers,3.0,0.203815282,0.586813331,0.470456116,1.0,0
12183082,15750,1.0,1.0,1.0,1.0,0.0,55358.1,4041.45,Service,Graduation,M,Male,CL,Home,14798,2060,8.0,Sales,2.0,0.531399169,0.34790788,0.064671956,1.0,1
12178207,27900,1.0,0.0,0.0,1.0,1.0,171483.3,5397.3,Service,Graduation,M,Female,CL,Home,14475,5495,10.0,Laborers,3.0,0.285672436,0.654937707,0.624614658,1.0,0
12138307,9000,1.0,0.0,0.0,1.0,1.0,6112.8,704.25,Service,Graduation,M,Male,CL,Home,9049,1052,14.0,Sales,3.0,0.323455283,0.141513258,0.332850564,0.0,0
12209444,20250,1.0,0.0,1.0,1.0,0.0,59947.2,2653.65,Service,Secondary,S,Male,CL,Home,19221,4013,65.0,Medicine,1.0,0.676352317,0.594337272,0.231439351,1.0,0
12213931,22500,1.0,0.0,1.0,1.0,2.0,180000,6269.85,Commercial,Graduation,M,Male,CL,Home,14609,206,15.0,Accountants,4.0,0.729192909,0.495049038,0.76623367,2.0,0
12187305,13500,1.0,0.0,1.0,1.0,0.0,36000,2079.45,Commercial,Graduation,M,Female,CL,Home,14297,664,19.0,Managers,2.0,0.108605468,0.52594631,0.662637792,2.0,0
12149217,31500,1.0,0.0,1.0,0.0,0.0,48564,3893.85,Commercial,Secondary,M,Female,CL,Family,12977,1028,11.0,Drivers,2.0,0.846588097,0.310564545,0.461482391,0.0,0
12100497,38250,1.0,1.0,0.0,1.0,0.0,98522.1,3268.8,Commercial,Graduation,M,Male,CL,Home,20476,4519,25.0,Managers,2.0,0.699314219,0.763695921,0.479448981,2.0,0
12179791,11250,1.0,0.0,1.0,0.0,0.0,13032,1559.25,Commercial,Secondary,M,Female,CL,Home,14281,847,8.0,Drivers,2.0,0.475907304,0.245135027,0.652896552,1.0,0
12168913,22500,1.0,0.0,1.0,0.0,0.0,100692,5154.3,Service,Graduation,M,Male,CL,Home,11083,2478,65.0,Core,2.0,0.312880353,0.307627166,0.418854289,2.0,0
12144629,22500,1.0,0.0,0.0,0.0,0.0,15282,1737,Service,Secondary,S,Female,CL,Home,10866,636,4.0,Drivers,1.0,0.153437796,0.711050744,0.70918911,1.0,0
12142827,18000,1.0,1.0,1.0,1.0,1.0,40432.5,2077.2,Service,Secondary,M,Female,CL,Rental,9486,1656,13.0,Laborers,3.0,0.88034662,0.533583585,0.740799088,1.0,0
12163984,45000,1.0,1.0,0.0,1.0,0.0,45000,3274.65,Service,Graduation,S,Female,CL,Home,10942,1118,7.0,High skill tech,1.0,0.229370682,0.767794948,0.565607981,1.0,0
12109845,22500,1.0,1.0,0.0,0.0,2.0,17632.8,677.7,Commercial,Graduation,M,Female,CL,Home,15386,7321,5.0,High skill tech,4.0,0.829568971,0.626661113,0.472253343,4.0,0
12189965,6750,1.0,0.0,0.0,1.0,2.0,18000,900,Govt Job,Secondary,M,Male,RL,Home,12594,3708,8.0,Core,4.0,0.330217238,0.680340208,0.399675616,2.0,0
12115192,26100,1.0,0.0,0.0,1.0,0.0,18000,900,Commercial,Graduation,S,Female,RL,Home,9430,288,5.0,High skill tech,1.0,0.339694008,0.644502125,0.349055251,3.0,0
12127034,27000,1.0,0.0,0.0,0.0,0.0,100692,3993.3,Service,Graduation,M,Female,CL,Home,13961,837,15.0,Managers,2.0,0.744310807,0.627136785,0.73801962,0.0,0
12120648,31500,1.0,1.0,1.0,1.0,0.0,176211,4858.65,Service,Graduation,M,Female,CL,Home,18394,614,1.0,Security,2.0,0.473160946,0.387987761,0.492060094,0.0,0
12208475,18000,1.0,1.0,0.0,1.0,1.0,10188,1082.7,Service,Secondary,M,Female,CL,Home,12539,1839,1.0,Laborers,3.0,0.322056386,0.361182968,0.773895694,1.0,0
12164520,11250,1.0,0.0,1.0,1.0,0.0,18000,900,Govt Job,Graduation,S,Female,RL,Shared,8372,733,7.0,Core,1.0,0.26825149,0.586648957,0.377404249,1.0,0
12118406,11700,1.0,1.0,0.0,1.0,1.0,41479.2,2263.05,Service,Secondary,W,Male,CL,Home,12160,588,8.0,Sales,2.0,0.268537883,0.624673953,0.470456116,0.0,0
12167849,18000,1.0,0.0,1.0,0.0,0.0,72846,3700.35,Service,Secondary,M,Male,CL,Home,20836,8971,5.0,Accountants,2.0,0.867403703,0.285897872,0.72383699,0.0,0
12123392,15750,1.0,1.0,1.0,1.0,0.0,31284,2484.45,Commercial,Secondary,M,Male,CL,Home,16034,2529,7.0,Laborers,2.0,0.225293432,0.617815229,0.403141677,4.0,0
12171716,18000,1.0,1.0,1.0,1.0,0.0,34404.3,2516.4,Commercial,Graduation,D,Male,CL,Rental,16216,1281,16.0,Accountants,1.0,0.612645466,0.568012293,0.166405546,3.0,1
12208116,24750,1.0,1.0,0.0,1.0,0.0,59256,3593.7,Service,Graduation,M,Female,CL,Home,10235,1766,2.0,Low-skill Laborers,2.0,0.195353501,0.325267158,0.202086602,2.0,0
12112563,20250,1.0,0.0,1.0,1.0,0.0,71994.6,3348.9,Service,Secondary,M,Female,CL,Home,10698,2582,14.0,Managers,2.0,0.514014194,0.667375129,0.385914672,0.0,0
12157149,32400,1.0,0.0,1.0,1.0,0.0,113850,3328.65,Service,Graduation,D,Male,CL,Home,16264,8070,2.0,Managers,1.0,0.66587384,0.262258369,0.488455184,1.0,0
12216927,22500,1.0,0.0,0.0,0.0,0.0,24876,2678.85,Govt Job,Secondary,S,Female,CL,Home,8920,1276,14.0,Core,1.0,0.537447453,0.619198052,0.324891229,1.0,0
12142674,13500,1.0,1.0,1.0,1.0,0.0,59256,3593.7,Service,Secondary,M,Female,CL,Home,11038,1697,18.0,Managers,2.0,0.062893086,0.742141741,0.502878277,2.0,0
12205119,10350,1.0,1.0,1.0,1.0,0.0,68850,2472.75,Service,Secondary,M,Male,CL,Home,13548,6969,9.0,Laborers,2.0,0.487890637,0.391107819,0.694092643,5.0,0
12136651,9000,1.0,0.0,0.0,1.0,1.0,22500,2400.3,Service,Secondary,M,Male,CL,Home,13207,2088,10.0,Sales,3.0,0.458908007,0.64568867,0.621226338,0.0,0
12157375,21600,1.0,1.0,0.0,0.0,2.0,33294.6,1712.7,Service,Secondary,M,Female,CL,Family,12636,2185,21.0,Laborers,4.0,0.257933961,0.402065256,0.69562193,3.0,0
12171105,15750,1.0,0.0,0.0,0.0,1.0,38250,1242.9,Commercial,Graduation,S,Male,CL,Home,11270,186,6.0,High skill tech,2.0,0.522131326,0.662952885,0.680138822,2.0,0
12108999,20250,1.0,0.0,0.0,1.0,0.0,177396.3,6178.95,Service,Secondary,M,Female,CL,Home,16471,1065,10.0,Laborers,2.0,0.34552727,0.364463909,0.67224289,2.0,0
12118757,13500,1.0,0.0,1.0,0.0,2.0,36000,1800,Commercial,Secondary,M,Female,RL,Family,12253,815,20.0,Laborers,4.0,0.342347915,0.6451582,0.798137231,3.0,0
12164222,22500,1.0,1.0,1.0,0.0,1.0,54504,3962.7,Commercial,Secondary,M,Female,CL,Home,11172,1742,7.0,Core,3.0,0.202424565,0.683749822,0.773895694,5.0,0
12152723,18000,1.0,1.0,1.0,1.0,2.0,23985,2371.95,Service,Graduation,M,Male,CL,Home,15064,2320,6.0,Accountants,4.0,0.56555715,0.517581635,0.656158373,6.0,0
12189963,18000,1.0,0.0,0.0,1.0,2.0,73499.4,2861.1,Govt Job,Graduation,M,Male,CL,Home,13925,944,6.0,Core,4.0,0.744468908,0.670518044,0.598926218,0.0,0
12112179,22500,1.0,0.0,0.0,0.0,0.0,103583.25,3354.3,Commercial,Secondary,M,Male,CL,Home,16649,1192,10.0,Managers,2.0,0.764154958,0.707882045,0.807273923,3.0,0
12156717,24750,1.0,0.0,1.0,1.0,1.0,83538,3883.95,Commercial,Secondary,S,Male,CL,Home,12480,389,20.0,Medicine,2.0,0.332736291,0.674438527,0.19977057,0.0,0
12135416,27000,1.0,0.0,0.0,1.0,1.0,67500,3375,Govt Job,Graduation,M,Female,RL,Home,17002,1885,64.0,Managers,3.0,0.791666246,0.701204474,0.569148771,4.0,0
12163205,31500,1.0,1.0,0.0,1.0,0.0,11512.8,1151.55,Service,Graduation dropout,S,Female,CL,Home,14651,905,3.0,Drivers,1.0,0.536920015,0.717973414,0.347418227,0.0,0
12121045,27000,1.0,0.0,0.0,1.0,0.0,90450,2917.8,Commercial,Graduation,M,Female,CL,Home,13632,3098,6.0,Managers,2.0,0.701152986,0.672057316,0.531686143,0.0,0
12154811,38250,1.0,1.0,1.0,1.0,1.0,100692,5154.3,Service,Secondary,M,Female,CL,Home,12750,425,30.0,Drivers,3.0,0.158542942,0.564580378,0.434733249,2.0,0
12184850,21600,1.0,0.0,0.0,1.0,0.0,36000,1598.85,Service,Graduation,S,Female,CL,Home,16486,4687,2.0,High skill tech,1.0,0.693020917,0.446641198,0.621226338,5.0,0
12150797,11250,1.0,0.0,1.0,1.0,3.0,25479.9,1867.05,Service,Graduation,M,Male,CL,Home,12852,1459,14.0,Laborers,5.0,0.488073951,0.651465221,0.145542813,1.0,0
12169833,23400,1.0,1.0,0.0,1.0,1.0,188685,4990.5,Service,Secondary,M,Male,CL,Home,12683,1290,7.0,Private service,3.0,0.427122282,0.754815153,0.824594971,0.0,0
12139359,15750,1.0,0.0,0.0,1.0,1.0,22500,2076.75,Govt Job,Graduation dropout,M,Female,CL,Home,17288,10693,13.0,High skill tech,3.0,0.53806269,0.243757808,0.795803133,0.0,0
12159640,13500,1.0,0.0,0.0,1.0,0.0,31410,1703.7,Service,Graduation dropout,S,Male,CL,Home,10002,251,4.0,Accountants,1.0,0.182298873,0.436617105,0.332850564,0.0,0
12187513,18000,1.0,0.0,1.0,0.0,0.0,43849.35,1944.45,Service,Secondary,W,Male,CL,Office,16339,3511,6.0,Sales,1.0,0.657426267,0.534878607,0.441835823,1.0,0
12161800,13500,1.0,0.0,0.0,1.0,0.0,36000,2799,Service,Graduation,M,Female,CL,Home,20251,1345,11.0,Laborers,2.0,0.534798455,0.536042637,0.832785025,1.0,0
12181557,18000,1.0,1.0,1.0,0.0,0.0,22500,2683.35,Service,Junior secondary,M,Female,CL,Family,9659,1611,3.0,Laborers,2.0,0.323962295,0.471490179,0.644679455,4.0,0
12107949,33750,1.0,1.0,0.0,1.0,0.0,37811.7,3696.3,Commercial,Graduation,S,Female,CL,Home,10099,2253,12.0,High skill tech,1.0,0.37117344,0.630576731,0.619527708,0.0,0
12110762,13500,1.0,0.0,0.0,0.0,1.0,151541.55,4180.05,Commercial,Graduation,M,Male,CL,Home,9996,517,3.0,Core,3.0,0.359031778,0.681950232,0.622922,0.0,0
12128949,15750,1.0,1.0,0.0,0.0,0.0,33750,1687.5,Commercial,Graduation,S,Male,RL,Family,9886,594,9.0,Managers,1.0,0.348106427,0.66279162,0.408358853,1.0,0
12177662,20250,1.0,0.0,0.0,0.0,1.0,28440,2259.9,Service,Secondary,M,Male,CL,Home,7881,1189,6.0,Waiters/barmen,3.0,0.16636174,0.27535255,0.321735282,2.0,1
12209037,44100,1.0,1.0,1.0,1.0,0.0,65159.55,3339.9,Service,Secondary,M,Female,CL,Home,19150,3564,8.0,Drivers,2.0,0.438353096,0.557579594,0.218859082,3.0,0
12207007,15750,1.0,0.0,1.0,1.0,0.0,38053.35,2719.35,Service,Graduation,M,Female,CL,Home,19405,1048,8.0,Drivers,2.0,0.713317349,0.527717933,0.572682505,7.0,0
12141558,31500,1.0,0.0,1.0,0.0,0.0,78192,3623.4,Commercial,Secondary,M,Male,CL,Home,15971,268,4.0,Sales,2.0,0.628776118,0.691910086,0.621226338,0.0,0
12130490,36000,1.0,0.0,1.0,1.0,0.0,45000,4450.95,Service,Secondary,M,Female,CL,Municipal,13431,750,0.0,Managers,2.0,0.604298037,0.800543131,0.483050188,0.0,0
12180481,12150,1.0,0.0,0.0,1.0,1.0,78192,4241.7,Service,Secondary,M,Male,CL,Home,15999,3269,16.0,Sales,3.0,0.731384934,0.001486309,0.329655054,3.0,0
12183923,11250,1.0,1.0,1.0,0.0,2.0,67500,3247.2,Service,Secondary,M,Female,CL,Home,11265,2722,16.0,Managers,4.0,0.323995207,0.705375168,0.70918911,1.0,0
12194015,22500,1.0,1.0,1.0,0.0,0.0,129350.25,3794.85,Service,Graduation,M,Female,CL,Home,16302,2966,9.0,Managers,2.0,0.540520268,0.737211105,0.821443313,1.0,0
12175676,15750,1.0,0.0,0.0,0.0,0.0,18000,900,Service,Secondary,S,Female,RL,Municipal,11239,1683,6.0,Managers,1.0,0.733954242,0.595148945,0.595456203,0.0,0
12169662,12150,1.0,1.0,1.0,0.0,1.0,53910,2752.2,Service,Graduation,M,Female,CL,Home,9986,624,12.0,High skill tech,3.0,0.123768688,0.421368062,0.479448981,0.0,0
12164526,11250,1.0,0.0,0.0,0.0,1.0,45000,2732.4,Service,Secondary,S,Male,CL,Home,14211,222,14.0,Drivers,2.0,0.331845882,0.341167143,0.289611238,2.0,0
12137629,49500,1.0,0.0,1.0,1.0,2.0,103068,6599.7,Service,Graduation,M,Female,CL,Home,15201,5110,7.0,Managers,4.0,0.738180378,0.764015424,0.408358853,4.0,0
12221280,11250,1.0,0.0,1.0,1.0,0.0,28440,1913.4,Service,Secondary,S,Female,CL,Rental,10117,1567,0.0,Low-skill Laborers,1.0,0.092546997,0.024338282,0.275000352,6.0,1
12186074,13500,1.0,1.0,1.0,1.0,0.0,72000,2563.65,Service,Graduation,M,Male,CL,Home,10933,1708,10.0,Sales,2.0,0.484498866,0.502806372,0.127698794,2.0,0
12209881,13500,1.0,0.0,0.0,0.0,3.0,18000,900,Service,Secondary,M,Female,RL,Home,12500,2762,15.0,Drivers,5.0,0.424489925,0.579728218,0.691021227,3.0,0
12138478,13500,1.0,1.0,0.0,1.0,0.0,31410,2137.5,Service,Graduation,M,Male,CL,Home,11133,4399,9.0,Laborers,2.0,0.312048593,0.333818587,0.086161662,0.0,0
12194847,15750,1.0,0.0,1.0,1.0,2.0,78192,4005.45,Service,Secondary,M,Male,CL,Home,13598,2357,11.0,Laborers,4.0,0.296982512,0.168826881,0.422369652,0.0,1
12172231,11250,1.0,0.0,0.0,1.0,0.0,11716.2,1171.8,Service,Secondary,S,Male,CL,Home,18592,6610,64.0,Secretaries,1.0,0.708992279,0.358840136,0.617826147,4.0,0
12217483,20250,1.0,0.0,0.0,1.0,0.0,54450,2536.2,Service,Secondary,S,Female,CL,Home,17359,4953,4.0,Security,1.0,0.477757409,0.581841915,0.436506499,3.0,0
12115580,11700,1.0,0.0,1.0,0.0,2.0,18000,1544.85,Commercial,Graduation dropout,M,Male,CL,Home,10781,4007,11.0,Core,4.0,0.58951548,0.639980157,0.6041126,2.0,0
12197621,13500,1.0,0.0,1.0,1.0,2.0,27000,1350,Service,Secondary,M,Male,RL,Home,13868,617,12.0,Core,4.0,0.376335518,0.711172036,0.349055251,0.0,0
12131771,22500,1.0,0.0,0.0,0.0,1.0,107820,2978.1,Commercial,Graduation dropout,M,Female,CL,Home,10019,1162,3.0,Drivers,3.0,0.194540546,0.66710809,0.248535557,0.0,0
12171825,27000,1.0,0.0,0.0,1.0,0.0,143685,4648.05,Service,Secondary,M,Female,CL,Home,19687,5791,1.0,Drivers,2.0,0.708859125,0.737871453,0.345784802,0.0,0
12213997,18000,1.0,1.0,1.0,1.0,0.0,80865,3146.4,Service,Secondary,D,Male,CL,Home,10203,1557,7.0,Private service,1.0,0.361962196,0.262935879,0.223831317,0.0,0
12172773,27000,1.0,0.0,0.0,1.0,1.0,114125.4,6385.5,Commercial,Secondary,M,Female,CL,Home,17496,1427,8.0,Managers,3.0,0.49670352,0.461275566,0.572682505,4.0,0
12145217,11250,1.0,1.0,0.0,1.0,0.0,27000,1350,Commercial,Graduation dropout,S,Female,RL,Home,11869,530,7.0,Core,1.0,0.35152224,0.781749948,0.515495375,0.0,0
12193972,11250,1.0,1.0,0.0,0.0,1.0,17790.3,1439.1,Service,Secondary,M,Female,CL,Home,9615,313,10.0,Laborers,3.0,0.146692167,0.580559143,0.116867266,2.0,0
12198214,11250,1.0,0.0,1.0,1.0,0.0,48564,4167.9,Commercial,Graduation,M,Male,CL,Home,10063,244,3.0,Core,2.0,0.49508158,0.595575656,0.757069015,3.0,0
12220430,22500,1.0,1.0,1.0,1.0,1.0,64008,2997,Commercial,Graduation,M,Male,CL,Home,11241,1327,13.0,Laborers,3.0,0.263688724,0.575417321,0.347418227,3.0,0
12144194,31500,1.0,0.0,0.0,1.0,0.0,112500,4779.45,Service,Graduation dropout,M,Female,CL,Home,22357,14263,8.0,High skill tech,2.0,0.532519401,0.611283421,0.633031641,2.0,0
12145909,31500,1.0,1.0,0.0,1.0,0.0,149308.65,4527,Govt Job,Graduation,M,Male,CL,Home,10507,2424,64.0,Medicine,2.0,0.374029206,0.64995428,0.694092643,2.0,0
12201650,18000,1.0,0.0,1.0,0.0,0.0,61626.15,1948.05,Service,Secondary,M,Female,CL,Home,14163,157,8.0,Security,2.0,0.613289267,0.334762672,0.195198406,0.0,0
12214452,12150,1.0,0.0,1.0,0.0,1.0,22500,846.9,Commercial,Secondary,M,Male,CL,Home,15671,214,11.0,Sales,3.0,0.757838449,0.689733579,0.411848556,2.0,0
12133677,6750,1.0,0.0,1.0,1.0,0.0,25596,1482.3,Service,Secondary,M,Male,CL,Home,10580,3103,14.0,Sales,2.0,0.211992495,0.631442298,0.65452928,2.0,0
12204121,31500,1.0,1.0,1.0,1.0,0.0,99801,8014.95,Commercial,Secondary,M,Male,CL,Home,14891,921,1.0,Managers,2.0,0.424325813,0.399518204,0.574446617,2.0,0
12153655,9000,1.0,1.0,1.0,1.0,1.0,10782,847.35,Service,Secondary,M,Female,CL,Home,13684,4559,4.0,Laborers,3.0,0.566314985,0.671102338,0.712155155,1.0,0
12150263,9000,1.0,0.0,0.0,0.0,1.0,67950,2407.05,Service,Graduation,M,Female,CL,Home,11548,912,15.0,Core,3.0,0.774577797,0.551837925,0.728141299,0.0,0
12204081,13500,1.0,0.0,1.0,0.0,0.0,90000,3232.8,Service,Graduation,M,Female,CL,Home,14499,6134,13.0,Managers,2.0,0.650965356,0.611683444,0.337672722,0.0,0
12109615,20250,1.0,1.0,0.0,1.0,2.0,135000,4474.8,Service,Graduation,M,Male,CL,Home,16026,2893,2.0,Accountants,4.0,0.840010157,0.746585712,0.565607981,3.0,0
12114634,13500,1.0,0.0,1.0,0.0,2.0,135000,3947.4,Commercial,Secondary,M,Male,CL,Home,12498,975,19.0,Private service,4.0,0.797714618,0.671936816,0.484851475,2.0,0
12180717,13500,1.0,1.0,1.0,0.0,0.0,84874.5,4617.45,Service,Secondary,S,Female,CL,Family,10680,132,8.0,Drivers,1.0,0.734682,0.594263458,0.277885689,0.0,1
12120424,20250,1.0,1.0,0.0,1.0,1.0,45000,2250,Service,Graduation,M,Male,RL,Home,11127,1146,21.0,High skill tech,3.0,0.380241806,0.645538574,0.554946769,1.0,0
12164433,29250,1.0,1.0,0.0,1.0,0.0,90000,3245.85,Commercial,Secondary,D,Male,CL,Home,14740,1482,3.0,Sales,1.0,0.694059875,0.648903793,0.683268831,1.0,0
12111837,8100,1.0,0.0,0.0,0.0,0.0,27627.75,1826.1,Service,Secondary,M,Female,CL,Home,17280,690,0.0,Laborers,2.0,0.835795056,0.650814496,0.424130311,0.0,0
12162609,4950,1.0,0.0,1.0,1.0,0.0,16351.2,1057.95,Govt Job,Secondary,D,Male,CL,Home,14957,2317,13.0,Core,1.0,0.741826648,0.409325225,0.519097338,3.0,0
12207747,22500,1.0,0.0,1.0,1.0,0.0,55098,3383.55,Commercial,Graduation,M,Female,CL,Home,13615,3679,8.0,Core,2.0,0.60296139,0.668093174,0.728141299,1.0,0
12151074,13500,1.0,0.0,1.0,0.0,2.0,31500,1575,Service,Graduation,M,Male,RL,Home,11888,172,21.0,Accountants,4.0,0.514692067,0.458440248,0.45432106,0.0,0
12143853,12150,1.0,1.0,0.0,1.0,0.0,26368.65,1775.25,Service,Secondary,S,Male,CL,Home,10942,2296,13.0,Core,1.0,0.354212918,0.56518236,0.41359676,7.0,0
12215656,13500,1.0,0.0,1.0,1.0,0.0,120714.3,4800.15,Govt Job,Secondary,M,Female,CL,Home,8765,382,14.0,Laborers,2.0,0.244695572,0.213668872,0.7136314,1.0,0
12131632,11250,1.0,0.0,1.0,1.0,0.0,48564,4167.9,Commercial,Graduation,M,Male,CL,Home,10063,244,3.0,Core,2.0,0.49508158,0.595575656,0.757069015,3.0,0
12202403,20250,1.0,1.0,1.0,0.0,0.0,80865,2608.65,Commercial,Secondary,S,Female,CL,Home,13375,183,23.0,Security,1.0,0.353584327,0.362066399,0.7136314,0.0,0
12104754,18000,1.0,1.0,0.0,1.0,0.0,18000,900,Commercial,Graduation,S,Male,RL,Home,8761,610,2.0,Accountants,1.0,0.2963038,0.127320089,0.370649632,2.0,0
12160895,6750,1.0,0.0,1.0,0.0,0.0,18000,900,Service,Graduation dropout,S,Female,RL,Home,8712,1114,64.0,Medicine,1.0,0.503485531,0.654660906,0.368968738,1.0,0
12179838,9000,1.0,0.0,1.0,0.0,1.0,75519,3632.85,Service,Graduation,M,Male,CL,Home,11124,342,1.0,Secretaries,3.0,0.640566471,0.461819022,0.372333666,4.0,0
12115518,40500,1.0,0.0,1.0,1.0,2.0,102474,4354.65,Commercial,Graduation,M,Female,CL,Home,16304,3544,3.0,Managers,4.0,0.342322043,0.566525374,0.345784802,5.0,0
12121514,18000,1.0,1.0,1.0,1.0,0.0,67950,#VALUE!,Service,Graduation,D,Male,CL,Home,14600,201,7.0,Accountants,1.0,0.610051626,0.643098008,0.350695843,1.0,1
12165532,9000,1.0,0.0,0.0,1.0,0.0,13032,1381.5,Service,Secondary,M,Male,CL,Home,9056,1712,2.0,Laborers,2.0,0.362405307,0.564198665,0.345784802,5.0,0
12187267,24750,1.0,0.0,1.0,1.0,2.0,102474,5245.2,Service,Secondary,M,Male,CL,Home,15632,211,13.0,Core,4.0,0.601809625,0.576693676,0.700183851,3.0,0
12183656,18000,1.0,1.0,1.0,1.0,0.0,50992.2,2653.2,Commercial,Secondary,M,Male,CL,Home,12300,5348,9.0,Sales,2.0,0.397283163,0.666379255,0.565607981,2.0,0
12165626,13500,1.0,0.0,0.0,0.0,0.0,33750,1687.5,Service,Graduation,D,Male,RL,Office,15711,8304,64.0,Core,1.0,0.608787096,0.238404753,0.549596502,4.0,0
12182425,16200,1.0,0.0,0.0,1.0,2.0,22690.8,868.05,Service,Secondary,M,Female,CL,Home,13276,1915,4.0,Managers,4.0,0.293913381,0.391821492,0.382501804,2.0,0
12164861,13500,1.0,1.0,0.0,1.0,0.0,112500,3302.55,Commercial,Secondary,M,Male,CL,Home,17671,5204,11.0,Security,2.0,0.651473315,0.452328193,0.683268831,1.0,0
12198668,9000,1.0,0.0,1.0,0.0,0.0,20250,1012.5,Commercial,Secondary,M,Male,RL,Home,17105,3271,15.0,Core,2.0,0.553582493,0.308750793,0.05763929,0.0,0
12127361,15750,1.0,0.0,0.0,0.0,1.0,63000,2919.15,Commercial,Secondary,D,Female,CL,Home,14546,2434,5.0,Laborers,2.0,0.694517668,0.551172632,0.542445144,4.0,0
12100928,18000,1.0,1.0,0.0,0.0,0.0,135450,3724.65,Commercial,Graduation,M,Male,CL,Home,12535,1638,3.0,Core,2.0,0.591981666,0.432372413,0.468659655,4.0,0
12155672,24750,1.0,0.0,1.0,0.0,0.0,83538,4265.1,Commercial,Graduation,M,Male,CL,Home,14887,2170,11.0,High skill tech,2.0,0.68196309,0.310616051,0.465069215,0.0,0
12120742,22950,1.0,0.0,0.0,0.0,1.0,67950,1999.8,Commercial,Graduation,M,Male,CL,Home,12226,3932,11.0,Core,3.0,0.389741375,0.55675949,0.135951044,3.0,1
12165082,45000,1.0,0.0,0.0,1.0,0.0,22500,1234.35,Service,Secondary,M,Female,CL,Home,8991,1327,3.0,Sales,2.0,0.247801391,0.531907004,0.549596502,3.0,0
12220145,9000,1.0,0.0,1.0,1.0,0.0,18000,900,Service,Secondary,S,Male,RL,Home,7840,538,6.0,Sales,1.0,0.245629626,0.607452321,0.481249341,1.0,0
12101754,20250,1.0,0.0,1.0,1.0,0.0,106660.8,3537.9,Service,Secondary,S,Female,CL,Family,9289,264,14.0,Laborers,1.0,0.187167168,0.156677202,0.362277247,1.0,0
12185170,22500,1.0,1.0,0.0,1.0,0.0,84095.1,3813.3,Commercial,Secondary,M,Male,CL,Home,16396,274,7.0,Laborers,2.0,0.557548229,0.618321111,0.531686143,2.0,0
12110188,81000,1.0,0.0,0.0,1.0,0.0,90000,9450.9,Service,Graduation,M,Male,CL,Home,17420,4215,1.0,Sales,2.0,0.694930104,0.618367557,0.75037515,3.0,0
